fruitID,year,month,day,plantID,prevplantID,og.plantposition,round,filled.seeds,shriv.seeds,total.seeds,virgin.ovules,abrt.ovules,total.ovules,notes,counter,observer,CHECK.row.sum,CHECK.total.ovules,Ratio CHECK Total/Total,Ratio  row sum/total
800533,2017,9,22,ru30,na,ru30,2,1,2,3,8,0,11,1//brown small shriv,mc,ar,11,11,1,1
800534,2017,9,22,ru30,na,ru30,2,6,0,6,3,3,12,2,mc,ar,12,12,1,1
800535,2017,9,22,ru30,na,ru30,2,9,3,12,2,0,14,3,mc,ar,14,14,1,1
800536,2017,9,22,ru30,na,ru30,2,11,0,11,1,1,13,4,mc,ar,13,13,1,1
800537,2017,9,22,ru30,na,ru30,2,8,3,11,1,1,13,5,mc,ar,13,13,1,1
800538,2017,9,22,ho8,na,ho8,1,13,0,13,0,0,13,1,mc,ar,13,13,1,1
800539,2017,9,22,ho8,na,ho8,1,14,0,14,0,0,14,2,mc,ar,14,14,1,1
800540,2017,9,22,ho8,na,ho8,1,12,0,12,2,0,14,3,mc,ar,14,14,1,1
800541,2017,9,22,si30,na,si30,1,7,2,9,3,0,12,1,mc,ar,12,12,1,1
800542,2017,9,22,gr22,na,gr22,2,11,0,11,2,1,14,2//a second fruit was listed in previous version but only 1 flower was open during this round; after reviewing this fruit had paint on the petiole while the other had no petiole; other fruit deleted 11-13,mc,ar,14,14,1,1
800544,2017,9,29,st12,st16,st16,4,0,0,0,5,0,5,1,mc,ar,5,5,1,1
800545,2017,9,29,st12,st16,st16,4,3,0,3,5,0,8,2,mc,ar,8,8,1,1
800546,2017,9,29,st1,na,st1,4,1,0,1,7,0,8,1,mc,ar,8,8,1,1
800547,2017,9,29,st14,st23,st23,4,2,0,2,5,0,7,1,mc,ar,7,7,1,1
800548,2017,9,29,st14,st23,st23,4,6,2,8,2,1,11,2,mc,ar,11,11,1,1
800549,2017,9,22,ru26,na,ru26,2,11,0,11,0,2,13,1,mc,ar,13,13,1,1
800550,2017,9,22,ru26,na,ru26,2,7,1,8,2,3,13,2,mc,ar,13,13,1,1
800551,2017,9,22,ru26,na,ru26,2,9,0,9,0,2,11,3,mc,ar,11,11,1,1
800552,2017,9,22,ru26,na,ru26,2,9,0,9,1,2,12,4,mc,ar,12,12,1,1
800553,2017,9,22,ru26,na,ru26,2,4,1,5,6,1,12,5,mc,ar,12,12,1,1
800554,2017,9,22,ru26,na,ru26,2,9,0,9,1,3,13,6,mc,ar,13,13,1,1
800555,2017,9,29,si7,si20,si20,4,5,0,5,7,0,12,,ar,ar,12,12,1,1
800556,2017,9,29,si8,na,si8,2,8,1,9,2,0,11,shriv wrinkled but hardened,ar,ar,11,11,1,1
800557,2017,9,29,si4,na,si4,4,4,0,4,5,0,9,1,ar,ar,9,9,1,1
800558,2017,9,29,si4,na,si4,4,6,0,6,4,0,10,2,ar,ar,10,10,1,1
800559,2017,9,29,si4,na,si4,4,5,0,5,5,0,10,3,ar,ar,10,10,1,1
