pollID,ID,site,observer,date,position,round,plantID,prevplantID,og.plantposition,plot,trmnt,prevtrmnt,flowers,wither_flow,frt_removed,notes
200344,120,nelson,kmf,8/8/2017,30,1,ne30,NA,ne30,low,hp,NA,6,7,2,
200345,120,nelson,kmf,8/19/2017,30,2,ne30,NA,ne30,low,hp,NA,0,0,3,
200346,120,nelson,kmf,8/31/2017,12,3,ne12,ne30,ne30,hi,op,hp,3,0,1,
200347,120,nelson,kmf,9/6/2017,12,4,ne12,ne30,ne30,hi,op,hp,7,18,18,
200348,121,rudningen,adr,8/8/2017,1,1,ru1,NA,ru1,hi,nt,NA,1,2,0,
200349,121,rudningen,adr,8/19/2017,1,2,ru1,NA,ru1,hi,nt,NA,3,5,0,
200350,121,rudningen,kmf,8/30/2017,1,3,ru1,NA,ru1,hi,op,nt,0,3,15,check rudningen labels!!!
200351,121,rudningen,kmf,9/7/2017,1,4,ru1,NA,ru1,hi,op,nt,0,0,4,
200352,122,rudningen,adr,8/8/2017,2,1,ru2,NA,ru2,hi,hp,NA,3,5,0,
200353,122,rudningen,adr,8/19/2017,2,2,ru2,NA,ru2,hi,hp,NA,3,4,3,
200354,122,rudningen,kmf,8/30/2017,2,3,ru2,NA,ru2,hi,hp,NA,2,11,14,had dbl labeling
200355,122,rudningen,kmf,9/7/2017,2,4,ru2,NA,ru2,hi,hp,NA,3,4,38,had dbl labeling
200356,123,rudningen,adr,8/8/2017,3,1,ru3,NA,ru3,hi,nt,NA,1,1,0,
200357,123,rudningen,adr,8/19/2017,3,2,ru3,NA,ru3,hi,nt,NA,0,2,0,
200358,123,rudningen,kmf,8/30/2017,3,3,ru3,NA,ru3,hi,op,nt,3,2,7,
200359,123,rudningen,kmf,9/7/2017,3,4,ru3,NA,ru3,hi,op,nt,2,2,5,
200360,124,rudningen,adr,8/8/2017,4,1,ru4,NA,ru4,hi,nt,NA,1,5,4,
200361,124,rudningen,adr,8/19/2017,4,2,ru4,NA,ru4,hi,nt,NA,2,2,5,
200362,124,rudningen,kmf,8/30/2017,4,3,ru4,NA,ru4,hi,hp,nt,3,5,14,
200363,124,rudningen,kmf,9/7/2017,4,4,ru4,NA,ru4,hi,hp,nt,0,0,10,
200364,125,rudningen,adr,8/8/2017,5,1,ru5,NA,ru5,hi,hp,NA,0,3,0,
200365,126,rudningen,adr,8/8/2017,6,1,ru6,NA,ru6,hi,hp,NA,8,16,12,
200366,126,rudningen,adr,8/19/2017,6,2,ru6,NA,ru6,hi,hp,NA,5,4,8,
200367,126,rudningen,kmf,8/30/2017,6,3,ru6,NA,ru6,hi,hp,NA,1,5,13,
200368,126,rudningen,kmf,9/7/2017,6,4,ru6,NA,ru6,hi,hp,NA,5,10,16,
200369,127,rudningen,adr,8/8/2017,7,1,ru7,NA,ru7,hi,hp,NA,2,12,5,
200370,127,rudningen,adr,8/19/2017,7,2,ru7,NA,ru7,hi,hp,NA,2,2,16,
200371,127,rudningen,kmf,8/30/2017,7,3,ru7,NA,ru7,hi,hp,NA,0,7,9,
200372,127,rudningen,kmf,9/7/2017,7,4,ru7,NA,ru7,hi,hp,NA,3,11,17,
200373,128,rudningen,adr,8/8/2017,8,1,ru8,NA,ru8,hi,op,NA,1,1,0,
200374,128,rudningen,adr,8/19/2017,8,2,ru8,NA,ru8,hi,op,NA,2,3,2,
200375,128,rudningen,kmf,8/30/2017,8,3,ru8,NA,ru8,hi,op,NA,0,1,9,had dbl labeling
200376,128,rudningen,kmf,9/7/2017,8,4,ru8,NA,ru8,hi,op,NA,3,1,5,had dbl labeling
200377,129,rudningen,adr,8/8/2017,9,1,ru9,NA,ru9,hi,op,NA,3,2,2,
200378,129,rudningen,adr,8/19/2017,9,2,ru9,NA,ru9,hi,op,NA,2,2,9,
200379,129,rudningen,kmf,8/30/2017,9,3,ru9,NA,ru9,hi,op,NA,2,3,8,
200380,129,rudningen,kmf,9/7/2017,9,4,ru9,NA,ru9,hi,op,NA,0,5,16,
200381,130,rudningen,adr,8/8/2017,10,1,ru10,NA,ru10,hi,op,NA,4,4,3,
200382,130,rudningen,adr,8/19/2017,10,2,ru10,NA,ru10,hi,op,NA,4,5,1,
200383,130,rudningen,kmf,8/30/2017,10,3,ru10,NA,ru10,hi,op,NA,2,4,14,
200384,130,rudningen,kmf,9/7/2017,10,4,ru10,NA,ru10,hi,op,NA,0,0,4,
200385,131,rudningen,adr,8/8/2017,11,1,ru11,NA,ru11,hi,nt,NA,0,3,0,
200386,131,rudningen,adr,8/19/2017,11,2,ru11,NA,ru11,hi,nt,NA,0,0,0,
200387,131,rudningen,kmf,8/30/2017,11,3,ru11,NA,ru11,hi,hp,nt,3,2,6,
200388,131,rudningen,kmf,9/7/2017,11,4,ru11,NA,ru11,hi,hp,nt,4,5,9,
200389,132,rudningen,adr,8/8/2017,12,1,ru12,NA,ru12,hi,op,NA,3,3,0,
200390,132,rudningen,adr,8/19/2017,12,2,ru12,NA,ru12,hi,op,NA,4,1,4,
200391,132,rudningen,kmf,8/30/2017,12,3,ru12,NA,ru12,hi,op,NA,2,3,8,had dbl labeling
200392,132,rudningen,kmf,9/7/2017,12,4,ru12,NA,ru12,hi,op,NA,0,2,6,had dbl labeling
200393,133,rudningen,adr,8/8/2017,13,1,ru13,NA,ru13,hi,hp,NA,8,3,0,
200394,133,rudningen,adr,8/19/2017,13,2,ru13,NA,ru13,hi,hp,NA,6,1,3,
200395,133,rudningen,kmf,8/30/2017,13,3,ru13,NA,ru13,hi,hp,NA,5,6,33,had dbl labeling
200396,133,rudningen,kmf,9/7/2017,13,4,ru13,NA,ru13,hi,hp,NA,1,4,33,had dbl labeling
200397,134,rudningen,adr,8/8/2017,14,1,ru14,NA,ru14,hi,nt,NA,1,0,0,
200398,134,rudningen,adr,8/19/2017,14,2,ru14,NA,ru14,hi,nt,NA,1,2,2,
200399,135,rudningen,adr,8/8/2017,15,1,ru15,NA,ru15,hi,op,NA,4,5,2,
